#separator:tab
#html:true
#columns:Front	Back	Tags
see; understand	vite<br>見<br>I see the <i>vide</i>o	pikotika level2 root
have; own	tene<br>有<br>you're <i>tena</i>cious if you hold on to what you have	pikotika level2 root
get; take	toma<br>取<br>I need to get that <i>tome</i>, maybe I'll just take it!	pikotika level2 root
make; do	vake<br>作<br><i>bake</i> it, make it	pikotika level2 root
come; arrive	veni<br>来<br><i>veni</i>, vidi, vici  (I came, I saw, I conquered)	pikotika level2 root
bring	teneveni<br>有来<br>have-come	pikotika level2 compound
carry; take along; transport	teneire<br>有行<br>have-go	pikotika level2 compound
fetch; go and get	tomaire<br>取行<br>get-go	pikotika level2 compound
ship; boat	akukaro<br>水车<br>water-vehicle	pikotika level2 compound
manner; road	moto<br>方<br>the <i>moto</i>rway is a road	pikotika level2 root
how	kermoto<br>何方<br>what-manner	pikotika level2 compound
How have you been?	Tu ri kermoto?<br>尔 ⊢ 何方?<br>you RI what-manner?	pikotika level2 sentence
The road has been closed.	Ri vin a moto.<br>⊢ 閉 ⇒ 方.<br>RI close A road.	pikotika level2 sentence
Someone is coming.	Ri veni.<br>⊢ 来.<br>RI come.	pikotika level2 sentence
parent; ancestor	pari<br>亲<br><i>par</i>ent	pikotika level2 root
woman; female	vema<br>女<br>from <i>fema</i>le	pikotika level2 root
man; male	viro<br>男<br><i>vir</i>ile man	pikotika level2 root
name; label	nomen<br>名<br><i>nomen</i>clature is naming	pikotika level2 root
mother	vemapari<br>女亲<br>woman-parent	pikotika level2 compound
father	viropari<br>男亲<br>man-parent	pikotika level2 compound
relative (kin)	parimen<br>亲众<br>parent-group	pikotika level2 compound
cook (person)	komivakeomo<br>食作人<br>food-make-person	pikotika level2 compound
eye	viteparte<br>見分<br>see-part	pikotika level2 compound
My mother makes good food.	Eko vemapari ri vake a pona komi.<br>己 女亲 ⊢ 作 ⇒ 好 食.<br>me woman-parent RI make A good food.	pikotika level2 sentence
Today I'm meeting your relatives.	Tisyan, eko ri sarve a tu parimen.<br>此日, 己 ⊢ 会 ⇒ 尔 亲众.<br>this-sun, I RI meet A you parent-group.	pikotika level2 sentence
Is your family well?	Tu parimen ri pona, ker?<br>尔 亲众 ⊢ 好, 何?<br>you parent-group RI good, what?	pikotika level2 sentence
no; none	nem<br>无<br><i>Nem</i>o is NO-where to be found!	pikotika level2 root
bad; wrong	marum<br>悪<br>careful with those paintings; if you <i>mar 'em</i>, that's bad	pikotika level2 root
but; however	sets<br>但<br>yes, but — he <i>sets</i> a condition	pikotika level2 root
only; just	son<br>只<br>an only <i>son</i>	pikotika level2 root
nobody; no one	nemomo<br>无人<br>no-person	pikotika level2 compound
nowhere	nemroko<br>无所<br>no-place	pikotika level2 compound
nothing	nemkosa<br>无物<br>no-thing	pikotika level2 compound
