#separator:tab
#html:true
#columns:Front	Back	Tags
color; hue	koror<br>色<br><i>color</i>	pikotika level3 root
black; dark	nero<br>黒<br><i>Nero</i> fiddled till Rome went black	pikotika level3 root
white; pale	anka<br>白<br>a bl<i>ank</i> paper is white	pikotika level3 root
red	rus<br>赤<br><i>rus</i>t is red	pikotika level3 root
blue	asur<br>青<br><i>azur</i>e skies, for <i>sur</i>e	pikotika level3 root
green	verte<br>緑<br><i>ver</i>y green, <i>verd</i>ant	pikotika level3 root
yellow	yoro<br>黄<br><i>yo</i>, that <i>yo</i>lk is yellow	pikotika level3 root
cyan	asurverte<br>青緑<br>blue-green	pikotika level3 compound
purple	rusasur<br>赤青<br>red-blue	pikotika level3 compound
pink	rusanka<br>赤白<br>red-white	pikotika level3 compound
orange	rusyoro<br>赤黄<br>red-yellow	pikotika level3 compound
This is a yellow fruit.	Tis ri yoro pomo.<br>此 ⊢ 黄 果.<br>this RI yellow fruit.	pikotika level3 sentence
And these red ones — what are they?	Kum tis rus kosa ri ker?<br>并 此 赤 物 ⊢ 何?<br>and this red thing RI what?	pikotika level3 sentence
Can we go to the park sometime?	Ekomen ri kan ire ver verteroko in tar tempo, ker?<br>己众 ⊢ 能 行 向 緑所 内 后 时, 何?<br>I-group RI can go to green-place in after time, what?	pikotika level3 sentence
every; all	pan<br>全<br>a <i>pan</i>demic hits everyone	pikotika level3 root
everyone; everybody	panomo<br>全人<br>every-person	pikotika level3 compound
everywhere	panroko<br>全所<br>every-place	pikotika level3 compound
everything	pankosa<br>全物<br>every-thing	pikotika level3 compound
always	pantempo<br>全时<br>every-time	pikotika level3 compound
Everybody says that.	Panomo ri tika a tis.<br>全人 ⊢ 言 ⇒ 此.<br>every-person RI say A this.	pikotika level3 sentence
All is good.	Pan ri pona.<br>全 ⊢ 好.<br>all RI good.	pikotika level3 sentence
Always.	Pantempo.<br>全时.<br>every-time.	pikotika level3 sentence
hot; fire	wo<br>火<br><i>whoa</i>, that fire is hot!	pikotika level3 root
air; wind	vento<br>风<br><i>vent</i>ilate the air	pikotika level3 root
earth; ground	tera<br>土<br><i>terra</i> firma, solid ground	pikotika level3 root
metal	metar<br>金<br><i>metal</i>	pikotika level3 root
stone; mineral	rapis<br>岩<br><i>rap is</i> hard as rock	pikotika level3 root
gale; strong wind	mekavento<br>大风<br>big-wind	pikotika level3 compound
brown	terakoror<br>土色<br>earth-color	pikotika level3 compound
grey	rapiskoror<br>岩色<br>stone-color	pikotika level3 compound
airplane	ventokaro<br>风车<br>air-vehicle	pikotika level3 compound
airport	ventokaroroko<br>风车所<br>air-vehicle-place	pikotika level3 compound
You're talking.	Tu ri tika.<br>尔 ⊢ 言.<br>you RI say.	pikotika level3 sentence
And you?	Kum tu, ker?<br>并 尔, 何?<br>and you, what?	pikotika level3 sentence
I like music and reading.	Eko ri kusta a musi kum kitavite.<br>己 ⊢ 愛 ⇒ 曲 并 写見.<br>I RI like A music and writing-see.	pikotika level3 sentence
weekday	yom<br>曜<br><i>Yom</i> Kippur — a named day	pikotika level3 root
month; moon	mese<br>月<br>you <i>may say</i> the moon phases take a month	pikotika level3 root
year	anyo<br>年<br>Spanish <i>año</i> (year); <i>annu</i>al	pikotika level3 root
Sunday	yanyom<br>日曜<br>sun-weekday	pikotika level3 compound
Monday	meseyom<br>月曜<br>moon-weekday	pikotika level3 compound
Tuesday	woyom<br>火曜<br>fire-weekday	pikotika level3 compound
Wednesday	akuyom<br>水曜<br>water-weekday	pikotika level3 compound
Thursday	arpoyom<br>木曜<br>plant-weekday	pikotika level3 compound
Friday	metaryom<br>金曜<br>metal-weekday	pikotika level3 compound
Saturday	terayom<br>土曜<br>earth-weekday	pikotika level3 compound
what day; on what day of the week	keryom<br>何曜<br>what-weekday	pikotika level3 compound
How old are you?	Tu anyoturan ri ker?<br>尔 年間 ⊢ 何?<br>you year-duration RI what?	pikotika level3 sentence
How old are your children?	Tu nino anyoturan ri ker?<br>尔 子 年間 ⊢ 何?<br>you child year-duration RI what?	pikotika level3 sentence
I'm 34 years old.	Eko anyoturan ri 34.<br>己 年間 ⊢ 34.<br>me year-duration RI 34.	pikotika level3 sentence
sequence; series	orten<br>序<br>in <i>ord</i>er	pikotika level3 root
again; repeat	repe<br>又<br><i>repe</i>at	pikotika level3 root
know; knowledge	sape<br>知<br>homo <i>sapi</i>ens knows things	pikotika level3 root
next; the one after	tarorten<br>后序<br>after-sequence	pikotika level3 compound
previous; preceding; former	yerorten<br>前序<br>before-sequence	pikotika level3 compound
recover; get back; retrieve	repetoma<br>又取<br>again-get	pikotika level3 compound
recall; recollect; call to mind	repesape<br>又知<br>again-know	pikotika level3 compound
repeat; say again	repetika<br>又言<br>again-say	pikotika level3 compound
