#separator:tab
#html:true
#columns:Front	Back	Tags
begin; open	apa<br>开<br><i>hop a</i> fence and open the gate so we can begin!	pikotika level4 root
remain; stop	sista<br>止<br>de<i>sist</i> — stop and remain as you are	pikotika level4 root
become; turn into	tiven<br>成<br>tadpoles <i>dive in</i> and become frogs	pikotika level4 root
put; sit	seta<br>坐<br><i>set a</i> thing down, then sit on it	pikotika level4 root
in the past	yertempo<br>前时<br>before-time	pikotika level4 compound
in the future	tartempo<br>后时<br>after-time	pikotika level4 compound
if; possible	pos<br>可<br>if <i>pos</i>sible	pikotika level4 root
unlucky; unfortunate; unfortunately	marumpos<br>悪可<br>bad-if	pikotika level4 compound
Stay with us.	Pam sista kum ekomen.<br>乞 止 并 己众.<br>please remain and I-group.	pikotika level4 sentence
I'm sorry — I should have started earlier.	Eko ri perton: eko ri pospona apa yer vin.<br>己 ⊢ 悔: 己 ⊢ 可好 开 前 閉.<br>I RI sorry: I RI if-good begin before finish.	pikotika level4 sentence
I might have gone.	Eko ri pos ire vin.<br>己 ⊢ 可 行 閉.<br>I RI if go finish.	pikotika level4 sentence
head; chief	testa<br>头<br>your head is what gets <i>test</i>ed	pikotika level4 root
leg; foot	kampa<br>足<br>legs take you <i>camp</i>ing	pikotika level4 root
mouth; opening	puka<br>口<br><i>puck</i>er up	pikotika level4 root
taste; flavor	sapor<br>味<br>delicious syrup tastes like <i>sap or</i> something	pikotika level4 root
heal; health	sana<br>医<br>back to <i>san</i>e and <i>sani</i>tary	pikotika level4 root
walk	kampaire<br>足行<br>leg-go	pikotika level4 compound
doctor	sanaomo<br>医人<br>heal-person	pikotika level4 compound
boss	opustesta<br>力头<br>work-head	pikotika level4 compound
sick; hurt	mara<br>病<br>a night<i>mar</i>e leaves you sick	pikotika level4 root
pain; hurt; ache	marasenti<br>病心<br>sick-feel	pikotika level4 compound
headache; nuisance	testamara<br>头病<br>head-sick	pikotika level4 compound
I ask the cook to make it not spicy.	Eko ri voritika ver komivakeomo a tis ri tiven non wosapor.<br>己 ⊢ 求言 向 食作人 ⇒ 此 ⊢ 成 不 火味.<br>I RI want-say to food-make-person A this RI become not hot-taste.	pikotika level4 sentence
